Sample,SBS288A,SBS288B,SBS288C,SBS288D,SBS288E,SBS288F,SBS288G,SBS288H,SBS288I,SBS288J,SBS288K,SBS288L,SBS288M,SBS288N,SBS288O,SBS288P,SBS288Q,SBS288R,SBS288S,SBS288T,DBS78A,DBS78B,DBS78C,DBS78D,ID83A,ID83B,ID83C,ID83D,ID83E,ID83F,ID83G,ID83H,SV32A,SV32B,SV32C,SV32D,SV32E,SV32F,SV32G,SV32H,SV32I,SV32J
PD37727a,0,0,5450,3529,1963,0,4942,2929,0,0,0,2676,0,0,8476,0,0,0,0,0,54,0,0,0,1269,707,0,0,0,0,0,0,0,249,72,0,0,0,181,142,122,0
PD37728a,0,1052,0,1375,623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268,0,0,0,0,0,0,73,0,0,54,0,42,0,63,37,0
PD37729a,3286,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,5377,0,0,0,0,0,17,15,0,0,331,0,0,0,0,0,371,90,0,25,0,0,0,0,0,0,0
PD37730a,855,493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1121,0,0,0,0,26,17,0,0,197,0,0,0,209,0,0,63,0,0,0,30,0,0,0,0,0
PD37731a,11245,2949,0,0,0,0,0,0,0,2637,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,204,219,0,0,0,0,0,24,0,0,0,0,0,0,20,0,0
PD37733a,1349,701,0,1292,0,0,0,1472,0,0,0,2241,0,0,928,0,0,0,0,0,0,29,0,0,164,433,0,0,0,0,0,0,70,0,116,0,0,0,0,31,0,0
PD37734a,0,275,0,539,331,0,0,0,976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,35,0,0,0,25,18,0,0,23,0
PD37735a,0,815,0,1022,1061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,0,0,0,0,0,0,34,17,0,0,0,0,0,0,27,0
PD37737a,1598,0,0,2441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,200,0,160,0,0,0,0,132,34,0,41,0,0,0,0,0,0
PD37738a,0,0,1693,864,881,0,0,0,1876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0
PD37739a,0,0,1989,908,985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0,77,107,0,41,58,0,50,0,0,0
PD37740a,4492,5031,0,0,0,0,0,0,0,0,0,0,0,0,1164,0,0,0,0,0,0,14,14,0,0,267,0,0,0,0,0,0,76,0,0,0,38,0,0,0,0,0
PD37741a,1666,791,0,905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,119,99,0,0,0,0,0,0,45,20,32,28,0,0,0,0,0,0
