Sample,SBS288A,SBS288B,SBS288C,SBS288D,SBS288E,SBS288F,SBS288G,SBS288H,SBS288I,SBS288J,SBS288K,SBS288L,SBS288M
PD39493a,0,0,0,0,0,0,0,0,0,0,51868,0,0
PD39523a,4024,5246,0,0,2459,0,0,0,0,0,0,0,1505
PD39955a,0,800,2021,0,2702,0,0,0,0,0,0,0,0
PD39957a,869,972,0,1771,1229,0,0,0,0,2726,0,0,0
PD39958a,884,845,3304,2460,1116,2776,0,0,0,0,0,0,0
PD39959a,441,0,0,0,0,0,0,0,0,0,0,0,6862
PD39960a,0,921,0,2341,1473,0,0,0,0,0,0,0,0
PD39961a,0,509,0,1496,1067,0,0,0,0,0,0,0,0
PD39962a,2795,2506,0,0,2238,0,0,0,0,0,0,0,0
PD39963a,3732,1858,7374,0,3169,0,0,0,0,0,0,0,0
PD39964a,2420,0,3907,0,1805,0,2900,1737,0,0,0,0,0
PD39965a,1554,1669,0,2736,0,6526,0,0,0,0,0,2108,0
PD39966a,6104,4428,0,0,1842,2809,0,0,0,0,0,0,0
PD39967a,10659,9474,0,0,0,0,0,0,0,0,0,0,0
PD39969a,24346,5836,0,0,0,0,0,0,0,0,0,0,0
PD39970a,0,0,0,1618,2027,0,0,0,0,0,0,0,0
PD39971a,724,787,2986,1374,1476,0,0,0,0,0,0,0,0
PD39972a,1620,1067,3495,0,2374,0,0,0,0,2681,0,0,0
PD39973a,1041,1411,0,1118,1653,0,0,0,0,0,0,0,0
PD39974a,2487,1016,0,0,2237,0,0,0,0,2206,0,0,0
PD39975a,0,855,0,1128,1741,0,0,1306,0,0,0,0,0
PD39976a,0,685,2603,1328,2017,2322,0,1469,0,0,0,0,0
PD39977a,0,0,1970,1184,851,0,0,1433,0,0,0,0,582
PD39978a,0,0,1977,1334,866,0,0,0,0,1889,0,0,0
PD39979a,883,0,0,0,2195,0,0,0,0,0,0,0,0
PD39981a,1808,1220,3288,2424,0,0,0,0,0,0,0,0,0
PD39983a,0,0,0,982,470,0,0,0,0,1035,0,0,0
PD39984a,6711,2390,0,1882,2060,0,0,0,0,0,0,0,0
PD39985a,1877,2436,0,1513,1324,0,0,2046,0,0,0,0,0
PD39987a,871,0,0,1282,1442,0,0,0,0,2454,0,0,0
PD39988a,1295,1794,0,7582,0,0,0,0,0,4325,0,0,1405
PD39989a,2674,2302,0,5891,1507,0,0,0,0,0,0,0,1127
PD39990a,4193,3466,0,2071,2738,0,0,0,0,0,0,0,0
PD39991a,1772,1339,0,1188,1012,0,0,0,0,0,0,0,0
PD39992a,1077,0,3448,3029,0,0,0,0,0,0,0,0,0
PD39993a,794,0,0,0,744,2263,3842,0,0,0,0,0,0
PD39994a,2943,1456,0,0,2047,0,0,11423,0,2915,0,0,0
PD39996a,1088,2520,0,0,3749,4376,0,0,0,0,0,0,0
PD39998a,2181,1859,0,1570,1212,0,0,0,0,0,0,0,0
PD39999a,1601,0,0,0,1652,0,0,0,0,1849,0,0,0
PD40000a,0,0,0,0,8853,0,0,0,19617,0,0,0,0
PD40001a,0,1636,3019,1428,1591,2551,0,0,0,0,0,0,0
PD40004a,0,0,0,0,1108,0,0,0,0,0,0,0,5058
PD40006a,0,0,5523,3462,2115,0,0,0,0,0,0,0,0
PD40007a,6018,2460,0,1901,0,0,0,0,0,0,0,1803,0
PD40009a,4376,0,0,1420,0,0,5460,0,0,0,0,0,0
PD40010a,430,0,0,0,1138,1296,0,0,0,0,0,0,0
PD40011a,0,0,0,1027,0,0,0,0,0,0,0,0,0
PD40012a,1189,3941,0,1961,2076,4064,0,0,0,0,0,0,0
PD40013a,0,0,5021,2394,1074,0,0,0,1415,0,0,0,0
PD40015a,0,1148,2464,1497,1733,0,0,0,0,0,0,1291,0
PD40017a,0,0,0,1932,824,2010,0,0,0,0,0,0,0
PD40018a,0,0,2948,0,0,0,0,0,1327,3874,0,0,0
PD40019a,0,0,4175,1783,2506,0,0,1780,0,0,0,0,0
PD40020a,1922,1256,0,2906,1622,0,0,0,0,0,0,0,0
PD40021a,0,0,0,0,1217,0,0,0,0,2731,0,0,0
PD40023a,14131,0,0,0,0,0,11325,0,0,0,0,0,0
PD40024a,189,0,0,314,0,0,0,0,0,0,0,0,0
PD40025a,2126,0,0,0,0,2883,5335,0,1945,0,0,0,0
PD40316a,0,0,2041,0,625,0,0,0,0,0,0,0,0
PD40317a,0,0,0,0,320,0,0,0,0,0,0,0,0
PD40318a,1087,902,3892,3013,1933,0,0,2095,0,0,0,0,0
PD40319a,2328,0,6318,0,0,0,0,0,0,2997,0,0,0
PD40320a,3912,3262,0,3671,3101,0,0,0,0,2575,0,0,0
PD40321a,2328,2563,0,2591,1777,0,0,0,0,0,0,0,0
PD40322a,461,0,1486,0,1553,0,0,0,0,0,0,0,0
PD40323a,849,597,0,1241,649,0,0,0,0,0,0,0,0
PD40324a,5648,1682,0,0,0,0,0,0,0,0,0,0,1196
PD40325a,0,0,4336,0,2075,0,0,1508,0,0,0,0,1960
PD40326a,1782,924,0,1656,1162,0,0,0,0,0,0,0,0
PD40327a,1453,0,3626,0,2850,0,0,0,0,0,0,1452,0
PD40328a,6715,4380,0,0,0,0,0,0,0,0,0,0,0
PD40329a,954,889,0,2500,1773,0,0,0,0,0,0,0,0
PD40330a,1285,1125,2750,1702,1345,0,0,1558,0,0,0,0,0
PD40331a,2059,0,0,3823,0,0,3395,0,0,0,0,0,0
PD40332a,8654,3620,0,0,0,0,0,0,0,0,0,0,2141
PD40333a,2803,1291,1669,918,1553,0,0,0,0,0,0,0,0
PD40334a,929,693,0,1173,707,0,0,0,0,0,0,0,0
PD40335a,2022,850,0,0,889,0,0,0,0,3458,0,1577,0
PD40336a,1595,0,5964,2350,1593,0,0,1791,1834,0,0,0,0
