,Sig 1,Sig 2,Sig 3,Sig 4,Sig 5,Sig 6,Sig 7,Sig 8,Sig 9,Sig 10,Sig 11,Sig 12,Sig 13,Sig 14,Sig 15,Sig 16,Sig 17,Sig 18,Sig 19
Biliary.AdenoCA..SP117655,68,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biliary.AdenoCA..SP117556,16,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biliary.AdenoCA..SP117627,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biliary.AdenoCA..SP117775,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biliary.AdenoCA..SP117332,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biliary.AdenoCA..SP117712,42,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biliary.AdenoCA..SP117017,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biliary.AdenoCA..SP117031,38,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biliary.AdenoCA..SP117759,44,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biliary.AdenoCA..SP117621,40,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biliary.AdenoCA..SP117425,47,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biliary.AdenoCA..SP117930,50,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biliary.AdenoCA..SP99287,17,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biliary.AdenoCA..SP99293,66,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biliary.AdenoCA..SP99289,59,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biliary.AdenoCA..SP99297,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biliary.AdenoCA..SP99301,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biliary.AdenoCA..SP99305,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biliary.AdenoCA..SP99309,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biliary.AdenoCA..SP99313,43,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biliary.AdenoCA..SP99317,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biliary.AdenoCA..SP99321,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biliary.AdenoCA..SP99325,128,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biliary.AdenoCA..SP99329,76,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biliary.AdenoCA..SP99333,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biliary.AdenoCA..SP99337,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biliary.AdenoCA..SP99341,24,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Biliary.AdenoCA..SP99345,16,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biliary.AdenoCA..SP99113,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biliary.AdenoCA..SP99185,31,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biliary.AdenoCA..SP99209,37,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biliary.AdenoCA..SP99213,23,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biliary.AdenoCA..SP99221,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biliary.AdenoCA..SP99225,13,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biliary.AdenoCA..SP99241,71,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bladder.TCC..SP1086,45,26,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Bladder.TCC..SP1003,49,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bladder.TCC..SP1677,31,22,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0
Bladder.TCC..SP1305,149,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bladder.TCC..SP963,36,17,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0
Bladder.TCC..SP1144,37,16,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
Bladder.TCC..SP1132,63,11,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Bladder.TCC..SP1712,15,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Bladder.TCC..SP1114,20,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
