,Sig 1,Sig 2,Sig 3,Sig 4,Sig 5,Sig 6,Sig 7,Sig 8,Sig 9,Sig 10,Sig 11,Sig 12,Sig 13,Sig 14,Sig 15,Sig 16,Sig 17,Sig 18,Sig 19
Biliary.AdenoCA..SP117655,0.747252747252747,0.252747252747253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biliary.AdenoCA..SP117556,0.432432432432432,0.567567567567568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biliary.AdenoCA..SP117627,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biliary.AdenoCA..SP117775,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biliary.AdenoCA..SP117332,0.571428571428571,0.428571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biliary.AdenoCA..SP117712,0.552631578947368,0.447368421052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biliary.AdenoCA..SP117017,0.833333333333333,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biliary.AdenoCA..SP117031,0.863636363636364,0.136363636363636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biliary.AdenoCA..SP117759,0.8,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biliary.AdenoCA..SP117621,0.547945205479452,0.452054794520548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biliary.AdenoCA..SP117425,0.94,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biliary.AdenoCA..SP117930,0.632911392405063,0.367088607594937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biliary.AdenoCA..SP99287,0.68,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biliary.AdenoCA..SP99293,0.717391304347826,0.228260869565217,0.0543478260869565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biliary.AdenoCA..SP99289,0.395973154362416,0.604026845637584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biliary.AdenoCA..SP99297,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biliary.AdenoCA..SP99301,0.2,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biliary.AdenoCA..SP99305,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biliary.AdenoCA..SP99309,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biliary.AdenoCA..SP99313,0.811320754716981,0,0,0,0.188679245283019,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biliary.AdenoCA..SP99317,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biliary.AdenoCA..SP99321,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biliary.AdenoCA..SP99325,0.422442244224422,0,0,0.577557755775578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biliary.AdenoCA..SP99329,0.883720930232558,0.116279069767442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biliary.AdenoCA..SP99333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biliary.AdenoCA..SP99337,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biliary.AdenoCA..SP99341,0.8,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
Biliary.AdenoCA..SP99345,0.551724137931034,0.448275862068966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biliary.AdenoCA..SP99113,0.846153846153846,0.153846153846154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biliary.AdenoCA..SP99185,0.584905660377358,0.415094339622641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biliary.AdenoCA..SP99209,0.274074074074074,0.725925925925926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biliary.AdenoCA..SP99213,0.575,0,0.425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biliary.AdenoCA..SP99221,0.625,0.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biliary.AdenoCA..SP99225,0.541666666666667,0.458333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biliary.AdenoCA..SP99241,0.476510067114094,0.523489932885906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bladder.TCC..SP1086,0.616438356164384,0.356164383561644,0,0,0,0,0.0273972602739726,0,0,0,0,0,0,0,0,0,0,0,0
Bladder.TCC..SP1003,0.550561797752809,0.449438202247191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bladder.TCC..SP1677,0.340659340659341,0.241758241758242,0,0,0,0,0.417582417582418,0,0,0,0,0,0,0,0,0,0,0,0
Bladder.TCC..SP1305,0.425714285714286,0.574285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bladder.TCC..SP963,0.387096774193548,0.182795698924731,0,0,0,0,0.43010752688172,0,0,0,0,0,0,0,0,0,0,0,0
Bladder.TCC..SP1144,0.627118644067797,0.271186440677966,0,0,0,0,0.101694915254237,0,0,0,0,0,0,0,0,0,0,0,0
Bladder.TCC..SP1132,0.807692307692308,0.141025641025641,0,0,0,0,0.0512820512820513,0,0,0,0,0,0,0,0,0,0,0,0
Bladder.TCC..SP1712,0.789473684210526,0,0,0,0,0,0.210526315789474,0,0,0,0,0,0,0,0,0,0,0,0
Bladder.TCC..SP1114,0.344827586206897,0.655172413793103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bladder.TCC..SP1431,0.391304347826087,0.173913043478261,0,0,0,0,0,0.434782608695652,0,0,0,0,0,0,0,0,0,0,0
Bladder.TCC..SP975,0.826446280991736,0.173553719008264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bladder.TCC..SP1059,0.502032520325203,0.497967479674797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
