aliquot_id                            icgc_specimen_id
e0fccaf5-925a-41f9-b87c-cd5ee4aecb59  SP1682
301d6ce3-4099-4c1d-8e50-c04b7ce91450  SP1677
22e154de-0e3b-443b-8420-48d68d6c1ce4  SP1677
c1da8eed-4919-4ba5-a735-3fba476c18a7  SP1135
4838b5a9-968c-4178-bffb-3fafe1f6dc09  SP1132
f154cc00-e118-4d4c-b9d2-2f1f71e0a964  SP1132
d6e91f4c-38c0-4393-9cb7-be076663dff3  SP968
c66c92d5-df65-46e6-861d-d8a98808e6a3  SP967
429f0e9d-c160-4b36-a31b-dab1097c6129  SP967
f88b2f4c-15f1-4808-bcec-89abc7466de6  SP1425
973d0577-8ca4-44a1-817f-1d3c1bada151  SP1419
80cdd385-2a6a-4d59-81c7-f36786637323  SP1419
c14e29aa-a979-4452-8019-7eebfb3d5d04  SP976
91f458e6-64b7-454d-a542-b0aa23638fd8  SP975
94447759-c20c-49f5-b51f-cbfdea41f2e8  SP975
21d0907a-ac47-4a72-8f6c-74d25949fe11  SP1437
8c619cbc-9e91-4716-9711-5236e55d8f46  SP1431
ca10d08d-3cc5-4171-9a70-66fdff3c0c3d  SP1431
da9b7c51-c544-4ead-93c9-39b334b6bef2  SP1437
b90f11ba-2f30-4d5e-b218-6d86d4fc2f46  SP1011
abd2d959-d5ed-4eb3-9759-67eb1aa23325  SP1009
b9f76fc8-ca33-46c5-89a0-ae16d42f987f  SP1009
e34479b8-834f-4747-984b-e77272f1379d  SP1090
0c7aca3f-e006-4de3-afc2-20b4f727d4fd  SP1086
3c499f07-67e2-4032-a0b5-b9edd90035f7  SP1086
c808f209-8527-4105-819b-610508d9d3b3  SP1092
0afe697d-20f1-4f51-a0a9-797d01afd397  SP1116
804ffa2e-158b-447d-945c-707684134c87  SP1114
5b0896f2-8fd9-42ee-b56d-b140f8d8657e  SP1114
60e4591c-6ce7-4a65-8355-653f5c41cd2e  SP1005
2b142863-b963-4cc9-8f8f-c72503c93390  SP1003
b8ecfb28-27d0-4ad4-b73c-cc21be41af31  SP1003
381f4721-580b-4b93-9988-862780e177bb  SP1007
a2b2e34b-005f-4803-9bc2-5f16b5cc8534  SP1147
45a7949d-e63f-4956-866c-df51257032de  SP1144
312ea080-3831-453d-aa8c-e466192c8309  SP1144
e92d3c82-1aea-48da-97fd-bf6325d5c51b  SP1147
7c729b94-1488-4dec-b534-5d73530e535c  SP1730
